Date,open,high,low,close,volume,adj close
2015-01-02,57.2400016784668,58.380001068115234,55.779998779296875,56.20000076293945,796900,56.20000076293945
2015-01-05,55.88999938964844,57.52000045776367,55.63999938964844,56.9900016784668,593600,56.9900016784668
2015-01-06,57.33000183105469,57.939998626708984,56.790000915527344,57.45000076293945,825000,57.45000076293945
2015-01-07,57.970001220703125,59.75,57.45000076293945,59.56999969482422,1053500,59.56999969482422
2015-01-08,60.0,61.66999816894531,59.7400016784668,61.439998626708984,1289100,61.439998626708984
2015-01-09,61.66999816894531,62.81999969482422,61.5,62.58000183105469,1549400,62.58000183105469
2015-01-12,62.869998931884766,63.29999923706055,62.66999816894531,63.16999816894531,1097700,63.16999816894531
2015-01-13,63.59000015258789,64.75,62.0,62.650001525878906,1155600,62.650001525878906
2015-01-14,61.41999816894531,62.5099983215332,60.630001068115234,61.060001373291016,853400,61.060001373291016
2015-01-15,61.38999938964844,61.939998626708984,59.5,59.630001068115234,599500,59.630001068115234
2015-01-16,59.029998779296875,59.20000076293945,56.0099983215332,56.91999816894531,1869600,56.91999816894531
2015-01-20,57.09000015258789,57.220001220703125,55.45000076293945,56.2400016784668,1221400,56.2400016784668
2015-01-21,56.2400016784668,57.04999923706055,55.66999816894531,55.900001525878906,868100,55.900001525878906
2015-01-22,56.130001068115234,58.11000061035156,55.959999084472656,58.0099983215332,881800,58.0099983215332
2015-01-23,58.029998779296875,58.15999984741211,57.0099983215332,57.459999084472656,790300,57.459999084472656
2015-01-26,57.470001220703125,58.34000015258789,56.65999984741211,58.20000076293945,725300,58.20000076293945
2015-01-27,57.560001373291016,58.880001068115234,57.08000183105469,58.75,662100,58.75
2015-01-28,59.41999816894531,60.16999816894531,58.459999084472656,58.56999969482422,1218700,58.56999969482422
2015-01-29,58.04999923706055,58.779998779296875,56.63999938964844,58.66999816894531,1473100,58.66999816894531
2015-01-30,52.790000915527344,55.150001525878906,51.77000045776367,53.04999923706055,5114900,53.04999923706055
2015-02-02,53.0,55.29999923706055,52.02000045776367,55.18000030517578,1931900,55.18000030517578
2015-02-03,55.220001220703125,55.97999954223633,54.04999923706055,54.68000030517578,1220300,54.68000030517578
